1126174,1647,5
1152235,642,2
1144051,8321,4
1303830,11547,3
1138832,134,3
1075119,272,4
1138832,8874,4
1161010,15121,5
1161010,10193,2
1161861,752,5
1161010,289,3
1085964,1128682,2
1036191,9346,1
1021684,5,4
1429963,756,2
1036191,9346,3
1085645,2135,3
1036191,1149812,1
1303830,242,5
1307015,9346,3
1303830,253,4
1273442,2022,4
1446850,278,5
1161010,522,4
1027738,14,3
1144051,813,1
1180818,585,5
1067283,1161588,4
1134664,8587,5
1368963,1577,3
1257480,1777,4
1124936,9268,4
1382434,2493,1
1124936,1041209,3
1022288,608,1
1190820,12162,1
1040573,116,4
1144051,1911,2
1138832,424,2
1264225,585,2
1001585,11547,3
1109859,69,3
1144051,558,3
1180818,855,5
1446850,11547,3
1022288,453,1
1022288,1428,3
1404196,808,2
1223785,37368,1
1197800,524,1
1223785,8916,3
1128056,40807,3
1076847,9346,4
1197800,11547,4
1076847,9346,2
1368963,862,5
1020256,1128682,5
1085964,80385,1
1021684,9443,3
1085964,11601,1
1013490,11113,1
1085964,24197,1
1085964,2978,1
1085964,1055012,5
1404707,2698,4
1098368,2135,5
1085645,522,3
1238659,16219,1
1082764,424,5
1179078,1130761,1
1253717,37368,2
1104295,1585,4
1179078,1130761,3
1144504,2832,3
1144504,88,1
1134664,1491,5
1185628,7555,3
1128351,11547,1
1355208,10555,4
1373862,2924,3
1207819,179,3
1003380,11547,2
1446850,424,4
1242240,2114,3
1128351,435,3
1098368,9346,4
1179078,1130761,4
1185628,14,1
1404762,14160,5
1130879,6075,2
1168350,1083591,4
1100528,414,4
1328086,11529,4
1333831,11688,3
1307015,279,3
1368963,1995,1
1035899,289,3
1001585,8373,1
1242240,826,4
1331945,388,2
1035899,49538,4
1130116,638,4
1085986,5279,4
1138832,11529,4
1347836,11547,3
1303830,7446,4
1303830,4953,3
1429963,9257,3
1303830,7863,4
1096123,88,3
1404707,9529,1
1404762,6282,4
1303830,116,4
1130116,629,2
1008621,1440,4
1429963,451,3
1404707,38356,2
1242240,116,2
1404707,116,3
1333831,5,3
1293482,408,3
1293482,829,5
1386265,90291,4
1350707,5915,1
1333831,9281,4
1293482,345,1
1399170,40807,3
1399170,1019638,3
1185814,214,1
1399170,8587,2
1027785,2062,3
1024273,11253,5
1399170,9870,2
1431502,11967,5
1293482,7979,3
1024273,8489,3
1068882,9346,3
1167793,752,2
1024273,1585,1
1167793,88,3
1068882,9529,5
1145161,10386,2
1167793,1009921,4
1171668,9529,1
1293482,1817,3
1293482,5125,5
1431502,9806,4
1399170,10196,3
1171668,11202,1
1359681,289,5
1068882,9962,3
1399170,603,4
1445052,32909,3
1024273,608,4
1152235,10647,2
1024273,8078,1
1038404,8960,2
1033124,5549,1
1271521,1389,4
1271521,1624,4
1144504,329,4
1103526,9619,1
1103526,116,5
1075268,1369,3
1082895,9655,2
1033124,512,5
1030461,11529,1
1094886,4141,3
1094886,863,4
1220482,2135,3
1022382,1251,5
1022382,9346,5
1143971,1065915,4
1143971,11917,3
1147238,9346,2
1107114,9008,5
1107114,116,1
1184737,2135,3
1006609,941,3
1161115,1270,3
1193381,116,1
1193381,245,3
1445055,14,4
1147238,8326,4
1184737,11566,1
1374578,88,2
1231836,116,3
1143971,141,2
1395154,10193,2
1094886,1495,3
1144504,11547,5
1135437,5,2
1049446,122,5
1308842,16219,4
1308842,872,4
1049446,17609,4
1317289,1891,2
1291391,1647,3
1157253,120,3
1157253,120,3
1157253,120,4
1171447,629,3
1126174,9679,3
1126174,1113078,3
1157253,7191,2
1308842,134,1
1156799,16869,2
1156799,863,1
1421550,197,4
1162875,9836,1
1421550,1359,2
1049446,88,4
1049446,278,4
1421550,9346,4
1156799,11547,2
1156799,8961,3
1421550,616,3
1247795,2135,1
1156799,680,3
1247795,11416,5
1156799,88,2
1156799,2140,2
1130509,96506,4
1156799,2637,3
1247795,1162413,2
1156799,642,1
1156799,289,2
1014807,88,1
1247795,9529,4
1091720,88,2
1254201,9559,2
1176605,22,1
1156799,116,3
1106774,1167262,2
1191532,829,2
1366804,116,5
1156799,1422,5
1145700,14168,3
1095718,10474,3
1228784,398,4
1145700,14168,1
1010093,4551,2
1120716,1140484,2
1120716,116,1
1247911,424,4
1054536,1043701,4
1084267,2135,3
1247911,5966,2
1306474,13448,5
1247911,78,4
1353735,163,3
1095718,11547,4
1364724,279,3
1247911,346,1
1364724,13007,3
1247911,7512,4
1247911,88,2
1145700,7459,2
1084267,9529,3
1218285,942,2
1338166,1491,3
1338166,773,4
1269633,11547,2
1338166,857,3
1054536,11547,3
1218285,59440,5
1054536,36586,4
1218285,164,4
1218285,524,1
1077849,11547,3
1253933,862,5
1178337,1578,1
1195541,1012270,2
1302851,1031713,3
1083526,623,4
1077849,10890,3
1081160,10758,2
1176095,8587,5
1246164,6479,3
1252880,9529,2
1134664,9346,2
1081160,88794,3
1302851,14,3
1056235,1946,2
1134664,11170,4
1150304,18785,2
1295713,15121,4
1081160,2135,5
1081160,9529,2
1040573,2135,3
1297191,3112,1
1081160,9477,1
1297191,197,5
1103526,46705,4
1038404,1850,4
1071531,9888,1
1103526,116,2
1213844,2977,2
1196186,14,4
1213844,808,1
1252880,2135,4
1293957,9475,3
1353735,10720,4
1081160,2135,4
1095718,11547,5
1332367,11547,3
1195541,16614,2
1171431,17578,1
1214458,1970,4
1386895,1923,3
1196186,77,4
1185814,11547,3
1095294,322,1
1081160,1579,5
1081160,4951,1
1095294,180,5
1095294,1955,4
1081160,197,4
1079149,11873,1
1176095,14,2
1332367,9346,4
1081160,121,3
1213844,22538,1
1306474,14,4
1213844,497,3
1296998,77,2
1167105,2034,5
1296998,197,5
1095718,8068,1
1213844,807,4
1052636,364,3
1332367,116,4
1247309,88,1
1157698,2539,2
1085450,121,2
1154561,1164874,3
1332367,1491,5
1056235,10201,3
1308025,348,1
1308025,1141467,1
1137285,603,2
1079149,1246,4
1177933,93,3
1040573,5925,3
1016766,1141467,4
1394837,9487,4
1260120,197,5
1174539,1128682,3
1020256,279,5
1150211,213,4
1150211,13475,5
1418736,856,1
1418736,9353,5
1196186,89,1
1196186,1098164,5
1055147,16869,5
1078536,6278,5
1038404,11529,3
1137285,605,2
1383277,11324,2
1101231,425,3
1252880,22,3
1355729,272,4
1177933,10474,2
1159439,302,2
1355729,88,2
1355729,1124,3
1383277,629,4
1355729,278,4
1340935,16219,3
1161861,3989,3
1313752,571,3
1313752,197,4
1038131,1083592,3
1311768,2011,1
1086779,9346,4
1038131,14,3
1270090,951,2
1130116,1140484,2
1195541,13466,4
1101205,433,4
1373862,921,2
1063960,122,3
1373862,340,3
1041536,137,3
1041536,44758,3
1130116,11323,1
1092617,1139190,2
1195442,37165,3
1022382,767,4
1289251,1669,2
1086779,6477,2
1009051,11978,5
1130512,14160,3
1138188,1061935,1
1177933,116,1
1196596,82384,5
1196596,1166958,2
1048154,866,2
1386895,49538,3
1177933,11547,3
1373862,381,4
1024758,509,2
1024273,275,2
1373862,8326,4
1445485,9277,4
1084394,424,3
1138188,18785,3
1084394,2062,4
1089311,122,3
1054563,1371,3
1237866,296,2
1177933,88,5
1386895,36331,3
1247911,9693,3
1012281,2135,3
1246164,883,2
1138030,1850,2
1040916,10315,3
1335256,8587,4
1335256,629,4
1090979,2135,4
1360978,116,2
1086779,134,1
1030303,27205,3
1012368,8587,1
1030303,27205,5
1246164,11547,2
1024273,11400,3
1307249,16219,2
1162875,783,2
1307249,2323,5
1162875,22804,3
1151598,11416,3
1133333,87,3
1133333,812,3
1289251,1538,4
1133333,252,5
1307249,116,4
1085450,10138,4
1133333,10536,4
1015416,116,3
1307249,5,3
1133333,4148,4
1162875,2135,3
1026225,1271,2
1096862,2118,4
1419612,608,4
1158008,116,2
1138030,5255,4
1022000,558,3
1102439,37368,3
1102439,116,3
1102439,2135,3
1129727,287,3
1247911,9529,2
1054563,11093,3
1054563,11547,4
1101205,36586,5
1063960,9346,3
1016329,5,1
1031012,11113,1
1138030,116,4
1322685,853,3
1247911,24197,1
1322685,88,2
1012802,2293,3
1012802,197,5
1109859,9870,4
1438043,8587,4
1085450,11547,3
1438043,1667,3
1338251,25887,4
1239868,64609,2
1308584,44214,1
1063960,1895,3
1063960,826,4
1091720,9346,3
1063960,36955,3
1419612,2062,3
1361184,11324,4
1109859,9346,4
1213844,280,2
1335272,96506,3
1338251,9346,3
1196693,9319,3
1338251,1585,5
1440104,770,3
1335272,9913,3
1335272,116,4
1289251,6415,4
1022000,1116054,5
1129727,755,3
1440104,808,3
1083526,88,5
